ID,Name,Department,Team,Position,Age,College,Salary,Skills,Experience Period (Months),email,chat,timezone,topics,office_hours,To Install,Learning Modules,Documents to be signed 
96414,James Young,Product & Development,Customer Experience (CX) AI Solutions,CX AI Solutions Junior Engineer,26,B.Sc Information Technology,68977,"SAP CX, AI Basics, Python",30,james.young@company.com,@jamesyoung,Asia/Singapore,sap cx; marketing cloud; personalization; ai/ml,Nov-19,"SAP CX Suite (Commerce, Marketing, Service Cloud), SAP Cloud SDK, SAP BTP CLI, Python (AI/ML libraries), Node.js, VS Code, Jupyter Notebook, Git, Postman, VPN","SAP CX Overview, AI Basics for CX, Python Programming for CX, SAP Marketing Cloud Basics, GitHub Basics, Agile in CX","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96415,Tyler Zeller,Product & Development,Customer Experience (CX) AI Solutions,CX AI Solutions Engineer,33,B.Tech Software Engineering,76210,"Python, SAP CX, AI/ML, Data Analysis",100,tyler.zeller@company.com,@tylerzeller,Asia/Singapore,sap cx; marketing cloud; personalization; ai/ml,Sep-17,"SAP CX Suite (Commerce, Marketing, Service Cloud), SAP Cloud SDK, SAP BTP CLI, Python (AI/ML libraries), Node.js, VS Code, Jupyter Notebook, Git, Postman, VPN","SAP CX Advanced Engineering, AI/ML in CX, Data Analysis in SAP CX, SAP Marketing Cloud Deep Dive, Python AI/ML for CX, Agile for AI Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96416,Neha Reju,Product & Development,S/4HANA Cloud Engineering,Senior S/4HANA Cloud Engineer,38,M.Tech Computer Science,87450,"S/4HANA, SAP HANA, Fiori, SQL",150,neha.reju@company.com,@nehareju,Asia/Singapore,fiori deployment; hana sql; s/4hana cloud; cds views,Nov-19,"SAP S/4HANA Cloud access, SAP GUI, SAP Fiori apps, Eclipse (HANA plugins), SQL Developer, Git, Jira, MS Teams, SAP HANA Studio, Postman","S/4HANA Cloud Overview, SAP HANA Basics, SAP Fiori Development, SQL for HANA, SAP HANA Studio Usage, Agile in SAP Cloud, Git & Collaboration","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96417,Markel Brown,Product & Development,S/4HANA Cloud Engineering,Senior S/4HANA Cloud Engineer,41,B.E. Information Technology,94620,"S/4HANA, Cloud Deployment, Fiori",180,markel.brown@company.com,@markelbrown,Asia/Singapore,fiori deployment; hana sql; s/4hana cloud; cds views,Sep-17,"SAP S/4HANA Cloud access, SAP GUI, SAP Fiori apps, Eclipse (HANA plugins), SQL Developer, Git, Jira, MS Teams, SAP HANA Studio, Postman","S/4HANA Cloud Advanced, Cloud Deployment Strategies, Fiori Advanced Development, HANA Performance Tuning, Project Leadership in S/4HANA, Agile for Cloud Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96418,Wayne Ellington,Product & Development,S/4HANA Cloud Engineering,S/4HANA Cloud Engineer,29,B.Tech Computer Science,70188,"S/4HANA, SAP HANA, SQL",60,wayne.ellington@company.com,@wayneellington,Asia/Singapore,fiori deployment; hana sql; s/4hana cloud; cds views,Oct-18,"SAP S/4HANA Cloud access, SAP GUI, SAP Fiori apps, Eclipse (HANA plugins), SQL Developer, Git, Jira, MS Teams, SAP HANA Studio, Postman","S/4HANA Cloud Overview, SAP HANA Basics, SQL for HANA, Fiori Basics, SAP HANA Studio, Agile in SAP Cloud","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96419,Rondae Hollis-Jefferson,Product & Development,S/4HANA Cloud Engineering,S/4HANA Cloud Engineer,50,B.Sc Computer Science,83750,"S/4HANA, Fiori, SAP HANA",270,rondae.hollisjefferson@company.com,@rondaehollisjefferson,Asia/Singapore,fiori deployment; hana sql; s/4hana cloud; cds views,Nov-19,"SAP S/4HANA Cloud access, SAP GUI, SAP Fiori apps, Eclipse (HANA plugins), SQL Developer, Git, Jira, MS Teams, SAP HANA Studio, Postman","S/4HANA Deep Dive, SAP HANA Advanced Features, Fiori Customization, S/4HANA Project Management, Cloud Deployment, Agile for Enterprises","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96420,Jarrett Jack,Product & Development,S/4HANA Cloud Engineering,Senior S/4HANA Cloud Engineer,28,MBA,92344,"S/4HANA, Cloud Deployment, Fiori, Project Management",50,jarrett.jack@company.com,@jarrettjack,Asia/Singapore,fiori deployment; hana sql; s/4hana cloud; cds views,Sep-17,"SAP S/4HANA Cloud access, SAP GUI, SAP Fiori apps, Eclipse (HANA plugins), SQL Developer, Git, Jira, MS Teams, SAP HANA Studio, Postman","S/4HANA Cloud Overview, SAP HANA Fundamentals, Fiori Development, SQL for HANA, SAP Project Management, Agile Leadership","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96421,Samyuktha Janakiraman,Product & Development,SAP Joule Copilot Team,Junior SAP Joule Copilot Engineer,32,B.E. Software Engineering,61125,"Python, SAP AI APIs, Automation",90,samyuktha.janakiraman@company.com,@samyukthajanakiraman,Asia/Singapore,sap ai apis; automation; copilot; python,Sep-17,"SAP Joule Copilot sandbox, SAP AI Core access, Python (AI/ML stack), Node.js, JavaScript, GitHub, VS Code, Jupyter Notebook, Docker, Postman, VPN","SAP Joule Copilot Overview, Python for AI Automation, SAP AI APIs, Automation Workflows, Jupyter Notebook Basics, Git Basics, Agile for AI Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96422,Sean Kilpatrick,Product & Development,SAP Joule Copilot Team,SAP Joule Copilot Team Lead,47,B.Tech Computer Science,98760,"Python, SAP AI APIs, JavaScript, AI/ML",240,sean.kilpatrick@company.com,@seankilpatrick,Asia/Singapore,sap ai apis; automation; copilot; python,Nov-19,"SAP Joule Copilot sandbox, SAP AI Core access, Python (AI/ML stack), Node.js, JavaScript, GitHub, VS Code, Jupyter Notebook, Docker, Postman, VPN","SAP Joule Copilot Leadership, AI/ML in SAP, SAP AI Core, Project Management for AI, AI API Advanced Training, Agile Leadership for AI","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Manager Responsibility Charter"
96423,Shane Larkin,Product & Development,SAP Joule Copilot Team,SAP Joule Copilot Engineer,34,B.E. Information Technology,75420,"Python, Automation, SAP AI APIs",110,shane.larkin@company.com,@shanelarkin,Asia/Singapore,sap ai apis; automation; copilot; python,Nov-19,"SAP Joule Copilot sandbox, SAP AI Core access, Python (AI/ML stack), Node.js, JavaScript, GitHub, VS Code, Jupyter Notebook, Docker, Postman, VPN","SAP Joule Copilot Engineering, Python for Automation, SAP AI APIs Usage, Automation Frameworks, Git & Collaboration, Agile Delivery for AI","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96424,Brook Lopez,Product & Development,SAP Joule Copilot Team,Senior SAP Joule Copilot Engineer,43,M.Tech Computer Science,86530,"AI/ML, SAP AI APIs, Python",200,brook.lopez@company.com,@brooklopez,Asia/Singapore,sap ai apis; automation; copilot; python,Oct-18,"SAP Joule Copilot sandbox, SAP AI Core access, Python (AI/ML stack), Node.js, JavaScript, GitHub, VS Code, Jupyter Notebook, Docker, Postman, VPN","AI/ML Advanced for SAP, SAP AI APIs, Python Deep Dive, AI Ethics & Governance, SAP Joule Copilot Advanced Engineering, Agile for AI Teams","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96425,Chris McCullough,Product & Development,SAP Joule Copilot Team,SAP Joule Copilot Engineer,37,B.Tech Software Engineering,69810,"Python, SAP AI APIs, Automation",140,chris.mccullough@company.com,@chrismccullough,Asia/Singapore,sap ai apis; automation; copilot; python,Sep-17,"SAP Joule Copilot sandbox, SAP AI Core access, Python (AI/ML stack), Node.js, JavaScript, GitHub, VS Code, Jupyter Notebook, Docker, Postman, VPN","SAP Joule Copilot Engineering, Python Automation, SAP AI APIs, Automation Frameworks, Git & Collaboration, Agile AI Delivery","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96426,Willie Reed,Product & Development,Supply Chain Intelligence,Senior Supply Chain Engineer,31,B.Sc Computer Science,92145,"SAP SCM, Analytics, SQL",80,willie.reed@company.com,@williereed,Asia/Singapore,sap scm; analytics; power bi; data modelling,Sep-17,"SAP SCM, SAP IBP (Integrated Business Planning), SQL Developer, Python (analytics), Power BI, Git, Jira, Confluence, Excel add-ins for SAP, VPN","SAP Supply Chain Overview, SAP IBP Basics, SQL for Analytics, Python for Analytics, SAP SCM Analytics, Power BI Basics, Agile for SCM","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96427,Thomas Robinson,Product & Development,Supply Chain Intelligence,Supply Chain Intelligence Engineer,49,B.Tech Computer Science,67988,"SAP SCM, Data Modelling, SQL",260,thomas.robinson@company.com,@thomasrobinson,Asia/Singapore,sap scm; analytics; power bi; data modelling,Aug-16,"SAP SCM, SAP IBP (Integrated Business Planning), SQL Developer, Python (analytics), Power BI, Git, Jira, Confluence, Excel add-ins for SAP, VPN","SAP Supply Chain Advanced, SAP IBP Advanced, Data Modelling for SCM, SQL Analytics, Power BI Advanced, Agile in SCM Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96428,Prajna Gaur ,Product & Development,Supply Chain Intelligence,Supply Chain Intelligence Engineer,27,B.E. Computer Engineering,83020,"SAP SCM, Analytics, Python",40,prajna.gaur@company.com,@prajnagaur,Asia/Singapore,sap scm; analytics; power bi; data modelling,Aug-16,"SAP SCM, SAP IBP (Integrated Business Planning), SQL Developer, Python (analytics), Power BI, Git, Jira, Confluence, Excel add-ins for SAP, VPN","SAP Supply Chain Analytics, Python for SCM, SQL for SCM, SAP IBP Basics, Power BI Basics, Agile for SCM","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96429,Donald Sloan,Product & Development,Supply Chain Intelligence,Senior Supply Chain Intelligence Engineer,55,M.Tech Information Systems,91240,"SAP SCM, Analytics, Data Modelling, Power BI",320,donald.sloan@company.com,@donaldsloan,Asia/Singapore,sap scm; analytics; power bi; data modelling,Oct-18,"SAP SCM, SAP IBP (Integrated Business Planning), SQL Developer, Python (analytics), Power BI, Git, Jira, Confluence, Excel add-ins for SAP, VPN","SAP SCM Advanced, SAP IBP Advanced, Power BI Advanced, Data Modelling in SCM, Project Leadership in SCM, Agile for SCM Teams","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96430,Thaddeus Young,Product & Development,Supply Chain Intelligence,Junior Supply Chain Intelligence Engineer,26,B.Tech Software Engineering,64410,"SAP SCM, SQL, Analytics",30,thaddeus.young@company.com,@thaddeusyoung,Asia/Singapore,sap scm; analytics; power bi; data modelling,Nov-19,"SAP SCM, SAP IBP (Integrated Business Planning), SQL Developer, Python (analytics), Power BI, Git, Jira, Confluence, Excel add-ins for SAP, VPN","SAP SCM Basics, SQL for SCM, Analytics for Supply Chain, SAP IBP Overview, Agile in SCM Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96431,Arron Afflalo,Product & Development,Analytics & Business Intelligence (BI) Engineering,Senior BI Engineer,28,B.Sc Information Technology,97532,"SAP BI, SAP BW, SQL, Power BI",50,arron.afflalo@company.com,@arronafflalo,Asia/Singapore,sap bi; sap bw; dashboards; power bi,Sep-17,"SAP BI, SAP BW, SAP Analytics Cloud, SQL Developer, Power BI Desktop, Git, Jira, MS Teams, Excel (Power Query), Tableau (if needed)","SAP BI Overview, SAP BW Basics, SAP Analytics Cloud Fundamentals, SQL for BI, Power BI Basics, Excel Power Query, Agile in BI Projects","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96432,Lou Amundson,Product & Development,Analytics & Business Intelligence (BI) Engineering,BI Engineer,29,B.E. Computer Science,71560,"SAP BI, Data Visualization, SQL",60,lou.amundson@company.com,@louamundson,Asia/Singapore,sap bi; sap bw; dashboards; power bi,Sep-17,"SAP BI, SAP BW, SAP Analytics Cloud, SQL Developer, Power BI Desktop, Git, Jira, MS Teams, Excel (Power Query), Tableau (if needed)","SAP BI Advanced, SAP BW Deep Dive, Power BI Advanced, SAP Analytics Cloud Advanced, SQL Analytics, Agile BI Delivery","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96433,Nithya Boyapati,Product & Development,Analytics & Business Intelligence (BI) Engineering,Senior BI Engineer,36,B.Tech Computer Engineering,88740,"SAP BW, SAP BI, Power BI",130,nithya.boyapati@company.com,@nithyaboyapati,Asia/Singapore,sap bi; sap bw; dashboards; power bi,Nov-19,"SAP BI, SAP BW, SAP Analytics Cloud, SQL Developer, Power BI Desktop, Git, Jira, MS Teams, Excel (Power Query), Tableau (if needed)","SAP BI Leadership, SAP BW Strategy, Power BI Advanced Analytics, SAP Analytics Cloud Governance, Project Management in BI, Agile Leadership","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96434,Carmelo Anthony,Product & Development,Analytics & Business Intelligence (BI) Engineering,Junior BI Engineer,33,MBA,63250,"SAP BI, SQL, Excel",100,carmelo.anthony@company.com,@carmeloanthony,Asia/Singapore,sap bi; sap bw; dashboards; power bi,Sep-17,"SAP BI, SAP BW, SAP Analytics Cloud, SQL Developer, Power BI Desktop, Git, Jira, MS Teams, Excel (Power Query), Tableau (if needed)","SAP BI Overview, SQL Basics for BI, Excel Power Query, SAP BW Basics, Agile BI Delivery","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96435,Jose Calderon,Product & Development,Analytics & Business Intelligence (BI) Engineering,BI Engineer,52,B.Tech Computer Science,80230,"SAP BI, Power BI, Data Analysis",290,jose.calderon@company.com,@josecalderon,Asia/Singapore,sap bi; sap bw; dashboards; power bi,Oct-18,"SAP BI, SAP BW, SAP Analytics Cloud, SQL Developer, Power BI Desktop, Git, Jira, MS Teams, Excel (Power Query), Tableau (if needed)","SAP BI Advanced, SAP BW Deep Dive, SAP Analytics Cloud Advanced, SQL Analytics, Power BI Advanced, Agile BI Governance","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96436,Cleanthony Early,Product & Development,SAP Industry Cloud Development,Senior SAP Industry Cloud Engineer,30,B.E. Information Technology,96310,"SAP Industry Cloud, ABAP, Cloud Solutions",70,cleanthony.early@company.com,@cleanthonyearly,Asia/Singapore,industry cloud; abap; btp; cloud solutions,Oct-18,"SAP Industry Cloud SDK, SAP BTP CLI, Java JDK, Eclipse (ABAP Dev Tools), Git, VS Code, Docker, Postman, Fiori Tools","SAP Industry Cloud Overview, SAP BTP CLI Basics, SAP Cloud SDK, ABAP Development Tools, Project Management for Industry Cloud, Agile for Industry Cloud","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
96437,Langston Galloway,Product & Development,SAP Industry Cloud Development,SAP Industry Cloud Engineer,31,B.Sc Computer Science,69820,"SAP Industry Cloud, Java, ABAP",80,langston.galloway@company.com,@langstongalloway,Asia/Singapore,industry cloud; abap; btp; cloud solutions,Sep-17,"SAP Industry Cloud SDK, SAP BTP CLI, Java JDK, Eclipse (ABAP Dev Tools), Git, VS Code, Docker, Postman, Fiori Tools","SAP Industry Cloud Engineering, SAP Cloud SDK Advanced, ABAP Advanced, Cloud Deployment, Agile Cloud Delivery","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Senior Engineer Responsibility Charter"
96438,Daron Chua,Product & Development,SAP Industry Cloud Development,SAP Industry Cloud Engineer,48,M.Tech Software Engineering,84150,"SAP Industry Cloud, Cloud Solutions, ABAP",250,daron.chua@company.com,@daronchua,Asia/Singapore,industry cloud; abap; btp; cloud solutions,Sep-17,"SAP Industry Cloud SDK, SAP BTP CLI, Java JDK, Eclipse (ABAP Dev Tools), Git, VS Code, Docker, Postman, Fiori Tools","SAP Industry Cloud Advanced, SAP Cloud SDK, ABAP for Industry Solutions, Industry Cloud Strategy, Project Leadership in Industry Cloud, Agile Leadership","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement, Manager Responsibility Charter"
96439,Robin Lopez,Product & Development,SAP Industry Cloud Development,Senior SAP Industry Cloud Engineer,27,B.Tech Computer Science,93720,"SAP Industry Cloud, ABAP, Project Management",40,robin.lopez@company.com,@robinlopez,Asia/Singapore,industry cloud; abap; btp; cloud solutions,Sep-17,"SAP Industry Cloud SDK, SAP BTP CLI, Java JDK, Eclipse (ABAP Dev Tools), Git, VS Code, Docker, Postman, Fiori Tools","SAP Industry Cloud Basics, SAP BTP CLI, SAP Cloud SDK, ABAP Development Tools, Agile Cloud Practices","Offer Letter, Employment Contract, NDA, Code of Conduct Acknowledgement, Data Privacy Agreement, IT & Security Policy Acknowledgement"
